zona,enderecos_lista,aluguel,area_m²,quartos
norte,"Rua Manoel Ferreira Barbosa, Vila Mangalot, São Paulo Zona Norte, São Paulo",1100,60,1
norte,"Rua Iwajiro Takahashi, Vila Mazzei, São Paulo Zona Norte, São Paulo",1190,30,1
norte,"Rua Guajurus, Jardim São Paulo, São Paulo Zona Norte, São Paulo",1580,50,2
norte,"Rua Guajurus, Jardim São Paulo, São Paulo Zona Norte, São Paulo",1580,50,2
norte,"Avenida Vereador Ângelo Bortolo, Jardim Leonor Mendes De Barros, São Paulo Zona Norte, São Paulo",2200,95,3
norte,"Santana, São Paulo Zona Norte, São Paulo",5000,260,4
norte,"Rua Amaná, Vila Sabrina, São Paulo Zona Norte, São Paulo",770,18,1
norte,"Nobrega De Souza Coutinho 05, Jardim Peri, São Paulo Zona Norte, São Paulo",600,70,1
norte,"Rua José Eduardo Raduan 5, Parque Edu Chaves, São Paulo Zona Norte, São Paulo",1299,80,2
norte,"Rua Campo Belo Do Sul 113, Parque Vitória, São Paulo Zona Norte, São Paulo",1000,50,1
norte,"Narita, Jardim Japão, São Paulo Zona Norte, São Paulo",1300,56,2
norte,"João Miranda De Moura 22, Tremembé, São Paulo Zona Norte, São Paulo",1950,140,3
norte,"Rua João Ricardo 116, Jardim Peri, São Paulo Zona Norte, São Paulo",700,50,1
norte,"Presidente Jânio Da Silva Quadros, Jardim Japão, São Paulo Zona Norte, São Paulo",1200,70,2
norte,"Brandão Agrões 176, Jardim Peri, São Paulo Zona Norte, São Paulo",799,50,1
norte,"Rua Rodolfo Bardela 335, Brasilândia, São Paulo Zona Norte, São Paulo",590,30,1
norte,"Dr. José Gustavo Nunes 8, Parque Edu Chaves, São Paulo Zona Norte, São Paulo",920,50,2
norte,"Rua Nicolau Tolentino De Almeida 61, Vila Dionisia, São Paulo Zona Norte, São Paulo",1000,45,2
norte,"Yedo, Vila Maria Alta, São Paulo Zona Norte, São Paulo",1700,65,2
norte,"Av. Nossa Senhora Do Loreto 237, Vila Medeiros, São Paulo Zona Norte, São Paulo",900,35,1
norte,"Rua Bruno Bertucci, Freguesia Do Ó, São Paulo Zona Norte, São Paulo",950,23,
norte,"Avenida Penha Brasil 2651, Vila Francos, São Paulo Zona Norte, São Paulo",1000,47,2
norte,"Rua Carlos Escobar 282, Santana, São Paulo Zona Norte, São Paulo",800,10,1
norte,"Rua Relíquia, Jardim Das Laranjeiras, São Paulo Zona Norte, São Paulo",1200,84,3
norte,"General Ataliba Leonel, Parada Inglesa, São Paulo Zona Norte, São Paulo",1400,65,2
norte,"Leôncio De Magalhães, Jardim São Paulo, São Paulo Zona Norte, São Paulo",1500,54,2
norte,"Conceição, Jardim Japão, São Paulo Zona Norte, São Paulo",2200,110,2
norte,"Rua Vicente Ferreira Leite, Vila Siqueira (zona Norte), São Paulo Zona Norte, São Paulo",900,35,1
norte,"Rua Lavinio Salles Arcuri,
                613, Casa Verde Alta, São Paulo Zona Norte, São Paulo",2100,80,3
norte,"Avenida Professor Celestino Bourroul,
                425, Limão, São Paulo Zona Norte, São Paulo",14000,525,
norte,"Soldado José Rufino Costa, Parque Novo Mundo, São Paulo Zona Norte, São Paulo",10000,600,
norte,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",7800,100,
norte,"Rua Alfredo Pujol,
                408, Santana, São Paulo Zona Norte, São Paulo",3000,70,3
norte,"Rua Reims, Jardim Das Laranjeiras, São Paulo Zona Norte, São Paulo",75000,2700,
norte,"Sob Consulta, Parque Mandaqui, São Paulo Zona Norte, São Paulo",1800,45,2
norte,"R Marambaia, Casa Verde, São Paulo Zona Norte, São Paulo",1600,32,
norte,"Avenida Doutor Francisco Ranieri, Lauzane Paulista, São Paulo Zona Norte, São Paulo",1300,52,2
norte,"Jardim Peri, São Paulo Zona Norte, São Paulo",21000,950,
norte,"Sob Consulta, Imirim, São Paulo Zona Norte, São Paulo",16000,640,
norte,"Avenida Inajar De Souza, Limão, São Paulo Zona Norte, São Paulo",1500,45,1
norte,"Avenida Nova Cantareira, Tucuruvi, São Paulo Zona Norte, São Paulo",1750,95,3
norte,"Capitão Francisco Lipi, Vila Dom Pedro Ii, São Paulo Zona Norte, São Paulo",1600,67,2
norte,"Lucerna, Jardim Leonor Mendes De Barros, São Paulo Zona Norte, São Paulo",1800,70,2
norte,"Das Cerejeiras, Jardim Japão, São Paulo Zona Norte, São Paulo",3685,150,
norte,"Rua Rio Verde, Vila Bruna, São Paulo Zona Norte, São Paulo",940,80,2
norte,"Rua Epaminondas Melo Do Amaral, Sítio Do Mandaqui, São Paulo Zona Norte, São Paulo",1600,59,2
norte,"Avenida Mazzei, Vila Mazzei, São Paulo Zona Norte, São Paulo",750,15,1
norte,"Avenida Rangel Pestana, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",1200,30,1
norte,"Rua José De Figueiredo Seixas, Imirim, São Paulo Zona Norte, São Paulo",1400,50,2
norte,"Rua Francisco Shigueki Nomura, Imirim, São Paulo Zona Norte, São Paulo",660,15,1
norte,"Avenida Guilherme Cotching, Vila Maria, São Paulo Zona Norte, São Paulo",1500,60,2
norte,"Jose Pedro D´oro 451, Vila Francos, São Paulo Zona Norte, São Paulo",1400,50,2
norte,"Avenida Nova Cantareira, Tucuruvi, São Paulo Zona Norte, São Paulo",900,60,1
norte,"Avenida Nova Cantareira, Tucuruvi, São Paulo Zona Norte, São Paulo",1200,100,2
norte,"Rua Nicolau Tolentino De Almeida, Vila Dionisia, São Paulo Zona Norte, São Paulo",960,50,2
norte,"Rua Pedro Cacunda, Jardim São Paulo, São Paulo Zona Norte, São Paulo",1300,76,2
norte,"Rua Nicolau Tolentino De Almeida, Vila Dionisia, São Paulo Zona Norte, São Paulo",1100,58,2
norte,"Rua Judith Zumkeller, Parque Mandaqui, São Paulo Zona Norte, São Paulo",1090,55,2
norte,"Rua Conselheiro Moreira De Barros, Lauzane Paulista, São Paulo Zona Norte, São Paulo",1600,60,2
norte,"Rua Crisciúma, Jardim Brasil, São Paulo Zona Norte, São Paulo",4500,500,6
norte,"Avenida Mazzei, Vila Mazzei, São Paulo Zona Norte, São Paulo",750,15,1
norte,"Rua Itamonte, Vila Medeiros, São Paulo Zona Norte, São Paulo",1250,40,1
norte,"Rua Sampaio Leite, Jardim Rossin, São Paulo Zona Norte, São Paulo",800,50,1
norte,"Rua Chico Pontes, Carandiru, São Paulo Zona Norte, São Paulo",1040,24,1
norte,"Rua João Burjakian, Lauzane Paulista, São Paulo Zona Norte, São Paulo",860,36,1
norte,"Rua Adelfa De Figueiredo, Jardim Paraíso, São Paulo Zona Norte, São Paulo",1100,60,1
norte,"Rua João Rudge, Casa Verde, São Paulo Zona Norte, São Paulo",1400,55,1
norte,"Avenida Conceição, Carandiru, São Paulo Zona Norte, São Paulo",3950,70,2
norte,"Rua Eulália Bastos, Tucuruvi, São Paulo Zona Norte, São Paulo",1592,120,2
norte,"Rua Wilson Dupont, Santana, São Paulo Zona Norte, São Paulo",3500,180,4
