bairro,zona,area,quartos,aluguel
Alto Da Lapa ,-oeste,280,3,7000
Alto Da Lapa ,-oeste,245,2,3500
Alto Da Lapa ,-oeste,180,2,4700
Alto Da Lapa ,-oeste,144,3,5300
Alto Da Lapa ,-oeste,270,1,9000
Alto Da Lapa ,-oeste,318,3,9500
Jardim Ampliação ,-oeste,58,1,2200
Jardim Ampliação ,-oeste,134,2,4900
Jardim Ampliação ,-oeste,320,4,3000
Jardim Ampliação ,-oeste,208,2,4500
Jardim Ampliação ,-oeste,190,3,4200
Jardim Ampliação ,-oeste,,4,5000
Jardim Ampliação ,-oeste,683,5,50000
Jardim Ampliação ,-oeste,165,4,3500
Jardim Ampliação ,-oeste,60,2,900
Jardim Ampliação ,-oeste,468,3,2500
Vila Cordeiro ,-oeste,270,4,13000
Vila Cordeiro ,-oeste,70,2,3500
Vila Cordeiro ,-oeste,340,3,18000
Vila Cordeiro ,-oeste,106,2,3800
Vila Cordeiro ,-oeste,300,3,18000
Vila Cordeiro ,-oeste,90,2,2800
Vila Cordeiro ,-oeste,280,3,4900
Vila Cordeiro ,-oeste,150,2,4800
Vila Cordeiro ,-oeste,250,5,10000
Vila Cordeiro ,-oeste,550,,12000
Vila Cordeiro ,-oeste,98,2,4000
Vila Cordeiro ,-oeste,242,2,4500
Vila Cordeiro ,-oeste,200,4,3800
Vila Cordeiro ,-oeste,202,2,6000
Vila Cordeiro ,-oeste,170,3,4470
Vila Cordeiro ,-oeste,250,5,10000
Vila Cordeiro ,-oeste,250,3,4750
Vila Cordeiro ,-oeste,290,6,9000
Vila Cordeiro ,-oeste,90,2,3000
Vila Cordeiro ,-oeste,202,4,5000
Vila Cordeiro ,-oeste,350,,12000
Vila Madalena ,-oeste,450,3,8500
Vila Madalena ,-oeste,350,4,11000
Vila Madalena ,-oeste,135,4,4000
Vila Madalena ,-oeste,160,5,9900
Vila Madalena ,-oeste,239,,15000
Vila Madalena ,-oeste,312,4,13000
Vila Madalena ,-oeste,135,4,4000
Vila Madalena ,-oeste,40,1,1500
Vila Madalena ,-oeste,110,5,2900
Vila Madalena ,-oeste,55,1,1300
Vila Madalena ,-oeste,200,4,14500
Vila Madalena ,-oeste,200,3,12000
Vila Madalena ,-oeste,695,8,20980
Vila Madalena ,-oeste,456,4,18000
Vila Madalena ,-oeste,815,6,25000
Vila Madalena ,-oeste,325,3,14000
Vila Madalena ,-oeste,110,3,6400
Vila Madalena ,-oeste,200,4,12500
Vila Madalena ,-oeste,500,4,10000
Vila Madalena ,-oeste,350,4,12000
Vila Madalena ,-oeste,2,3,6900
Sumarezinho ,-oeste,160,5,9900
Sumarezinho ,-oeste,312,4,13000
Sumarezinho ,-oeste,135,4,4000
Sumarezinho ,-oeste,695,8,20980
Sumarezinho ,-oeste,325,3,14000
Sumarezinho ,-oeste,110,3,6400
Sumarezinho ,-oeste,200,1,7000
Sumarezinho ,-oeste,230,2,11000
Sumarezinho ,-oeste,137,,8500
Sumarezinho ,-oeste,110,3,6400
Sumarezinho ,-oeste,250,3,12000
Sumarezinho ,-oeste,350,2,10000
Sumarezinho ,-oeste,115,2,3500
Sumarezinho ,-oeste,294,,9010
Sumarezinho ,-oeste,150,3,6010
Sumarezinho ,-oeste,160,3,14000
Sumarezinho ,-oeste,350,,7500
Sumarezinho ,-oeste,695,,22000
Sumarezinho ,-oeste,200,3,14010
Sumarezinho ,-oeste,750,,20000
Sumarezinho ,-oeste,294,,10000
Jardim Bonfiglioli ,-oeste,294,3,5000
Jardim Bonfiglioli ,-oeste,145,2,4000
Jardim Bonfiglioli ,-oeste,190,3,4200
Jardim Bonfiglioli ,-oeste,129,3,3450
Jardim Bonfiglioli ,-oeste,200,,3000
Jardim Bonfiglioli ,-oeste,183,3,4500
Jardim Bonfiglioli ,-oeste,,3,7000
Jardim Bonfiglioli ,-oeste,110,,3000
Jardim Bonfiglioli ,-oeste,250,5,5000
Jardim Bonfiglioli ,-oeste,140,2,2800
Jardim Bonfiglioli ,-oeste,62,2,350000
