zona,area_quartos,enderecos_lista,aluguel
zona-norte,210 m² construídos4 quartos,"Rua Francisca Júlia, Santana, São Paulo Zona Norte, São Paulo",5.700
zona-norte,110 m² construídos3 quartos,"Rua Aguará, Vila Carbone, São Paulo Zona Norte, São Paulo",1.702
zona-norte,240 m² construídos3 quartos,"Rua Genova, Jardim Leonor Mendes De Barros, São Paulo Zona Norte, São Paulo",6.000
zona-norte,55 m² construídos2 quartos,"Rua Paulino De Brito, Jardim Brasil, São Paulo Zona Norte, São Paulo",1.500
zona-norte,53 m² construídos2 quartos,"Avenida Mazzei, Vila Mazzei, São Paulo Zona Norte, São Paulo",2.200
zona-norte,36 m² construídos1 quarto,"Rua Professor Oliveira E Sousa, Vila Cavaton, São Paulo Zona Norte, São Paulo",650
zona-norte,60 m² construídos1 quarto,"Rua Doutor Olavo Egídio, Santana, São Paulo Zona Norte, São Paulo",2.900
zona-norte,79 m² construídos2 quartos,"Rua Garcia Rodrigues, Parque Mandaqui, São Paulo Zona Norte, São Paulo",1.250
zona-norte,95 m² construídos2 quartos,"Rua Marieta Da Silva, Vila Guilherme, São Paulo Zona Norte, São Paulo",2.200
zona-norte,60 m² construídos2 quartos,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",2.507
zona-norte,48 m² construídos2 quartos,"Rua Juan Arfe, Vila Cruz Das Almas, São Paulo Zona Norte, São Paulo",1.200
zona-norte,67 m² construídos3 quartos,"Avenida Daniel Malettini, Vila Aurora, São Paulo Zona Norte, São Paulo",1.300
zona-norte,35 m² construídos1 quarto,"Rua Henrique Leitão, Vila Maria Alta, São Paulo Zona Norte, São Paulo",1.110
zona-norte,90 m² construídos3 quartos,"Rua Doutor Estevão Montebelo, Vila Picinin, São Paulo Zona Norte, São Paulo",2.600
zona-norte,46 m² construídos2 quartos,"Rua Borges, Parada Inglesa, São Paulo Zona Norte, São Paulo",2.500
zona-norte,280 m² construídos4 quartos,"Rua Doutor Ângelo Vita, Vila Zilda, São Paulo Zona Norte, São Paulo",6.000
zona-norte,49 m² construídos2 quartos,"Rua Vicente Ferreira Leite, Vila Siqueira (zona Norte), São Paulo Zona Norte, São Paulo",1.400
zona-norte,30 m² construídos1 quarto,"Rua Said Saad, Vila Amália, São Paulo Zona Norte, São Paulo",770
zona-norte,180 m² construídos4 quartos,"Rua Quedas, Vila Isolina Mazzei, São Paulo Zona Norte, São Paulo",4.200
zona-norte,45 m² construídos2 quartos,"Avenida Celso Garcia, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",2.000
