zona,area_quartos,enderecos_lista,aluguel
zona-sul,85 m² construídos2 quartos,"Rua Professor Vahia De Abreu, Vila Olímpia, São Paulo Zona Sul, São Paulo",2.600
zona-sul,72 m² construídos2 quartos,"Rua Adolfo Reile, Jardim Celeste, São Paulo Zona Sul, São Paulo",2.750
zona-sul,45 m² construídos1 quarto,"Rua Borges Lagoa, Vila Clementino, São Paulo Zona Sul, São Paulo",2.900
zona-sul,42 m² construídos2 quartos,"Avenida Dos Ourives, Jardim São Savério, São Paulo Zona Sul, São Paulo",1.140
zona-sul,70 m² construídos3 quartos,"Rua Doutor Ubaldo Franco Caiubi, Vila São Paulo, São Paulo Zona Sul, São Paulo",1.690
zona-sul,86 m² construídos2 quartos,"Avenida Coronel José Píres De Andrade, Vila Moinho Velho, São Paulo Zona Sul, São Paulo",3.960
zona-sul,50 m² construídos2 quartos,"Rua Casa Do Ator, Vila Olímpia, São Paulo Zona Sul, São Paulo",3.500
zona-sul,52 m² construídos1 quarto,"Rua Quatá, Vila Olímpia, São Paulo Zona Sul, São Paulo",2.900
zona-sul,60 m² construídos2 quartos,"Alameda Jaú, Jardim Paulista, São Paulo Zona Sul, São Paulo",3.000
zona-sul,70 m² construídos2 quartos,"Rua Edson, Campo Belo, São Paulo Zona Sul, São Paulo",2.831
zona-sul,34 m² construídos1 quarto,"Rua Gomes De Carvalho, Vila Olímpia, São Paulo Zona Sul, São Paulo",2.000
zona-sul,74 m² construídos2 quartos,"Rua Casa Do Ator, Vila Olímpia, São Paulo Zona Sul, São Paulo",4.473
zona-sul,34 m² construídos1 quarto,"Rua Viaza, Jardim Aeroporto, São Paulo Zona Sul, São Paulo",2.816
zona-sul,69 m² construídos2 quartos,"Rua Antônio De Macedo Soares, 1471 - Campo Belo, São Paulo - Sp, Brasil, Campo Belo, São Paulo Zona Sul, São Paulo",2.300
zona-sul,78 m² construídos2 quartos,"Rua Maracá, Vila Guarani (z Sul), São Paulo Zona Sul, São Paulo",3.175
zona-sul,36 m² construídos1 quarto,"Rua Lavapés, Cambuci, São Paulo Zona Sul, São Paulo",2.100
zona-sul,41 m² construídos1 quarto,"Rua Marquesa Santos, Vila Dom Pedro I, São Paulo Zona Sul, São Paulo",2.210
zona-sul,104 m² construídos2 quartos,"Rua Tutóia, Vila Mariana, São Paulo Zona Sul, São Paulo",4.000
zona-sul,94 m² construídos2 quartos,"Rua Domiciano Leite Ribeiro, Vila Guarani (z Sul), São Paulo Zona Sul, São Paulo",4.000
zona-sul,92 m² construídos3 quartos,"Rua Vigário Albernaz, Vila Gumercindo, São Paulo Zona Sul, São Paulo",2.184
zona-sul,72 m² construídos3 quartos,"Rua Pedro Victor, Vila Firmiano Pinto, São Paulo Zona Sul, São Paulo",2.600
zona-sul,118 m² construídos3 quartos,"Rua Agostinho Asquini, Vila Mariana, São Paulo Zona Sul, São Paulo",2.600
zona-sul,90 m² construídos3 quartos,"Rua Bento De Matos, Chácara Santo Antônio, São Paulo Zona Sul, São Paulo",2.750
zona-sul,70 m² construídos2 quartos,"Rua Ibituruna, Parque Imperial, São Paulo Zona Sul, São Paulo",2.700
zona-sul,83 m² construídos2 quartos,"Rua Jorge Chammas, Vila Mariana, São Paulo Zona Sul, São Paulo",5.000
zona-sul,93 m² construídos2 quartos,"Rua Helena, 151 - Vila Olimpia, São Paulo - Sp, Brasil, Vila Olímpia, São Paulo Zona Sul, São Paulo",7.800
zona-sul,47 m² construídos2 quartos,"Rua Doutor Nicolau Alberto Defina, Jardim Da Saúde, São Paulo Zona Sul, São Paulo",1.300
zona-sul,41 m² construídos1 quarto,"Avenida Chibarás, Moema, São Paulo Zona Sul, São Paulo",2.500
zona-sul,40 m² construídos1 quarto,"Rua Guarará, Jardim Paulista, São Paulo Zona Sul, São Paulo",4.000
zona-sul,30 m² construídos1 quarto,"Rua Gaspar Lourenço, Vila Mariana, São Paulo Zona Sul, São Paulo",1.650
zona-sul,75 m² construídos2 quartos,"Rua Gama Lobo, Vila Dom Pedro I, São Paulo Zona Sul, São Paulo",2.000
zona-sul,64 m² construídos2 quartos,"Avenida Dos Ourives, Jardim São Savério, São Paulo Zona Sul, São Paulo",1.600
zona-sul,40 m² construídos2 quartos,"Avenida Cupecê, Jardim Prudência, São Paulo Zona Sul, São Paulo",1.700
zona-sul,47 m² construídos2 quartos,"Rua Viena, Sacomã, São Paulo Zona Sul, São Paulo",1.800
zona-sul,47 m² construídos2 quartos,"Rua Loureiro Da Cruz, Aclimação, São Paulo Zona Sul, São Paulo",2.000
zona-sul,34 m² construídos1 quarto,"Avenida Lins De Vasconcelos, Vila Mariana, São Paulo Zona Sul, São Paulo",1.400
zona-sul,50 m² construídos2 quartos,"Rua Farid Miguel Haddad, Vila Santa Teresa (zona Sul), São Paulo Zona Sul, São Paulo",1.100
zona-sul,50 m² construídos2 quartos,"Avenida Dos Ourives, Jardim São Savério, São Paulo Zona Sul, São Paulo",1.272
zona-sul,89 m² construídos3 quartos,"Rua Nicola Rollo, Vila Andrade, São Paulo Zona Sul, São Paulo",2.700
zona-sul,178 m² construídos3 quartos,"Rua Pamplona, Jardim Paulista, São Paulo Zona Sul, São Paulo",7.000
zona-sul,49 m² construídos2 quartos,"Rua Viena, Sacomã, São Paulo Zona Sul, São Paulo",1.256
zona-sul,100 m² construídos2 quartos,"Rua Apacê, Jardim Oriental, São Paulo Zona Sul, São Paulo",1.800
zona-sul,41 m² construídos1 quarto,"Avenida Mascote, Vila Mascote, São Paulo Zona Sul, São Paulo",2.000
zona-sul,48 m² construídos2 quartos,"Rua José Bonifácio, Vila Fachini, São Paulo Zona Sul, São Paulo",1.100
zona-sul,35 m² construídos1 quarto,"Rua José Antônio Coelho, Vila Mariana, São Paulo Zona Sul, São Paulo",1.550
zona-sul,72 m² construídos2 quartos,"Avenida Fagundes Filho, Vila Monte Alegre, São Paulo Zona Sul, São Paulo",1.900
zona-sul,54 m² construídos1 quarto,"Rua Gabriele D#39annunzio, Campo Belo, São Paulo Zona Sul, São Paulo",4.200
