zona_bairro,area_quartos,enderecos_lista,aluguel
Campos-Elíseos-centro,23 m² construídos1 quarto,"Campos Elíseos, São Paulo Centro, São Paulo",2.000
Campos-Elíseos-centro,1 quarto,"Alameda Eduardo Prado, Campos Elíseos, São Paulo Centro, São Paulo",1.350
Campos-Elíseos-centro,24 m² construídos1 quarto,"Campos Elíseos, São Paulo Centro, São Paulo",1.200
Campos-Elíseos-centro,95 m² construídos2 quartos,"Alameda Eduardo Prado, Campos Elíseos, São Paulo Centro, São Paulo",1.250
Cerqueira-César-centro,41 m² construídos1 quarto,"Alameda Santos, 2387, Cerqueira César, São Paulo Centro, São Paulo",1.750
Cerqueira-César-centro,170 m² construídos,"R Lisboa, Cerqueira César, São Paulo Centro, São Paulo",12.000
Cerqueira-César-centro,84 m² construídos2 quartos,"R Artur De Azevedo, Cerqueira César, São Paulo Centro, São Paulo",2.600
Cerqueira-César-centro,242 m² construídos,"Alameda Tietê, Cerqueira César, São Paulo Centro, São Paulo",19.000
Cerqueira-César-centro,280 m² construídos1 quarto,"R Cristiano Viana, Cerqueira César, São Paulo Centro, São Paulo",13.000
Cerqueira-César-centro,242 m² construídos1 quarto,"Rua Vito Pedro Dell`antônia, 178_imóvel, Cerqueira César, São Paulo Centro, São Paulo",19.000
Cerqueira-César-centro,580 m² construídos3 quartos,"Rua Lisboa, Cerqueira César, São Paulo Centro, São Paulo",10.000
Cerqueira-César-centro,287 m² construídos,"Cerqueira César, São Paulo Centro, São Paulo",22.000
Cerqueira-César-centro,65 m² construídos3 quartos,"Cerqueira César, São Paulo Centro, São Paulo",7.500
Cerqueira-César-centro,232 m² construídos3 quartos,"Rua Ásia, Cerqueira César, São Paulo Centro, São Paulo",7.000
Cerqueira-César-centro,245 m² construídos,"Cerqueira César, São Paulo Centro, São Paulo",12.000
Cerqueira-César-centro,166 m² construídos3 quartos,"Cerqueira César, São Paulo Centro, São Paulo",15.000
Cerqueira-César-centro,243 m² construídos3 quartos,"Cerqueira Cesar, Cerqueira César, São Paulo Centro, São Paulo",19.000
Cerqueira-César-centro,242 m² construídos,"Alameda Tietê, Cerqueira César, São Paulo Centro, São Paulo",16.000
Cerqueira-César-centro,242 m² construídos,"Cerqueira César, São Paulo Centro, São Paulo",19.000
Cerqueira-César-centro,242 m² construídos,"Cerqueira César, São Paulo Centro, São Paulo",19.000
Cerqueira-César-centro,"1,100 m² construídos","Cerqueira César, São Paulo Centro, São Paulo",34.400
Cerqueira-César-centro,242 m² construídos3 quartos,"Alameda Tietê, Cerqueira César, São Paulo Centro, São Paulo",19.000
Cerqueira-César-centro,100 m² construídos3 quartos,"Cerqueira César, São Paulo Centro, São Paulo",8.000
Cerqueira-César-centro,372 m² construídos1 quarto,"Alameda Ministro Rocha Azevedo, Cerqueira César, São Paulo Centro, São Paulo",20.000
Cerqueira-César-centro,450 m² construídos1 quarto,"Cerqueira César, São Paulo Centro, São Paulo",42.000
Liberdade-centro,630 m² construídos4 quartos,"R José Getúlio, Liberdade, São Paulo Centro, São Paulo",14.000
Liberdade-centro,120 m² construídos5 quartos,"Rua Rocha Pombo, Liberdade, São Paulo Centro, São Paulo",4.500
Liberdade-centro,120 m² construídos6 quartos,"Rua Rocha Pombo, Liberdade, São Paulo Centro, São Paulo",4.500
Liberdade-centro,200 m² construídos4 quartos,"R Rocha Pombo, Liberdade, São Paulo Centro, São Paulo",12.000
Liberdade-centro,200 m² construídos3 quartos,"Pandia Calogeras, Liberdade, São Paulo Centro, São Paulo",6.000
Liberdade-centro,160 m² construídos2 quartos,"Liberdade, São Paulo Centro, São Paulo",8.000
Liberdade-centro,85 m² construídos2 quartos,"Jose Getulio, Liberdade, São Paulo Centro, São Paulo",2.500
Liberdade-centro,120 m² construídos3 quartos,"Liberdade, São Paulo Centro, São Paulo",5.500
Liberdade-centro,25 m² construídos1 quarto,"Rua Conselheiro Furtado, Liberdade, São Paulo Centro, São Paulo",2.000
Liberdade-centro,150 m² construídos3 quartos,"Rua Pandiá Calógeras, 164, Liberdade, São Paulo Centro, São Paulo",5.000
Liberdade-centro,25 m² construídos,"Liberdade, São Paulo Centro, São Paulo",900
Liberdade-centro,40 m² construídos1 quarto,"Liberdade, São Paulo Centro, São Paulo",900
Liberdade-centro,25 m² construídos1 quarto,"Liberdade, São Paulo Centro, São Paulo",900
Liberdade-centro,25 m² construídos,"Liberdade, São Paulo Centro, São Paulo",900
Liberdade-centro,25 m² construídos,"Liberdade, São Paulo Centro, São Paulo",900
Liberdade-centro,43 m² construídos1 quarto,"Joao De Carvalho - Frente, Liberdade, São Paulo Centro, São Paulo",850
Brás-centro,40 m² construídos2 quartos,"Rua Visconde De Parnaíba 318, Brás, São Paulo Centro, São Paulo",1.700
Brás-centro,200 m² construídos2 quartos,"Brás, São Paulo Centro, São Paulo",3.500
Brás-centro,65 m² construídos2 quartos,"Brás, São Paulo Centro, São Paulo",1.500
Brás-centro,90 m² construídos3 quartos,"Brás, São Paulo Centro, São Paulo",1.850
Brás-centro,130 m² construídos3 quartos,"Brás, São Paulo Centro, São Paulo",2.800
Brás-centro,65 m² construídos2 quartos,"Rua Nicolau Barreto, Brás, São Paulo Centro, São Paulo",1.500
Brás-centro,90 m² construídos3 quartos,"Brás, São Paulo Centro, São Paulo",1.850
